Ctrl + Del        | удаление слова справа
Ctrl + Backspace  | удаление слова слева
Shift + Alt + ↓   | дублирование строки
Alt + ↓↑          | перемещение
Ctrl + ↓↑          | перемещение страницы
Alt+ курсор       | удаление или добавление в одинаковых словах
Shift + Tab       | удаение табуляции
Ctrl + ] Ctrl + [ | удаление\добавление Tab
Ctrl + /          | комент строки
Shift + Alt + A   | многострочный комент
Shift + Enter     | выполнить кусок кода
Ctrl+F > Ctrl+H   | замена всех одинаковых слов
Ctrl + Shift + L  | замена всех одинаковых слов
Ctrl + D          | выделить слово
Ctrl + G          | переход на номер строки
Ctrl + B          | скрытие боковой панели
Ctrl + Shift + E  | показать боковую панель и перйти Explorer
Ctrl + ~          | перейти\закрыть\открыть терминал
Ctrl + F5         | запустить код
Ctrl + F4         | закрыть вкладку
Ctrl + 1..9       | переключение между вкладками
Ctrl + PgDn\PgUp  | переключение между вкладками
Ctrl + Tab        | переключение между вкладками
Ctrl + P          | переключение между файлами
Ctrl + M          | Tab Moves Focus
Ctrl + L          | очистить терминал
